#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2025-06-25-13-50-34
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer	source
#types	time	string	addr	port	addr	port	string	string	bool	string	string
1750830846.801472	Cd6GH73wg86oCdprYf	10.141.143.123	60550	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830847.799572	CO6nVd4HrNX2bGWcyf	10.141.143.123	60551	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830847.803911	CO6nVd4HrNX2bGWcyf	10.141.143.123	60551	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830848.795628	CGj7Eg2AmWo2ZsR9ud	10.141.143.123	60554	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830848.802590	CGj7Eg2AmWo2ZsR9ud	10.141.143.123	60554	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830852.758931	CCu9su2fmvhFwCpDc	10.141.143.123	60588	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830852.766616	CCu9su2fmvhFwCpDc	10.141.143.123	60588	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830853.792818	CwXPve2iUPDYdWYEE4	10.141.143.123	60589	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830853.795843	CwXPve2iUPDYdWYEE4	10.141.143.123	60589	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830854.781350	CUj6O83FquZ96HVO79	10.141.143.123	60590	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830854.784014	CUj6O83FquZ96HVO79	10.141.143.123	60590	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830858.744596	CB88J10cHHMiEwVn8	10.141.143.123	60608	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830858.746932	CB88J10cHHMiEwVn8	10.141.143.123	60608	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830859.751433	CZGVnXw4VaalYqKBg	10.141.143.123	60615	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830859.754430	CZGVnXw4VaalYqKBg	10.141.143.123	60615	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830860.785175	CAj65oFJzOXFZ2NN3	10.141.143.123	60626	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830860.787914	CAj65oFJzOXFZ2NN3	10.141.143.123	60626	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830864.720424	CgTzl92UNmu6bTZ0oi	10.141.143.123	60783	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830864.723813	CgTzl92UNmu6bTZ0oi	10.141.143.123	60783	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830865.715008	CpIU6z1jfzU5kDMvY5	10.141.143.123	60796	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830865.717381	CpIU6z1jfzU5kDMvY5	10.141.143.123	60796	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830866.732594	C54wEh15DvAiBHFwO3	10.141.143.123	60799	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830866.735052	C54wEh15DvAiBHFwO3	10.141.143.123	60799	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830869.763206	CQqYfg4TVjwRKFvEy1	10.141.143.123	60801	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830869.765840	CQqYfg4TVjwRKFvEy1	10.141.143.123	60801	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830870.799861	CL5Mfr3t45QgcHJHa6	10.141.143.123	60802	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830870.803627	CL5Mfr3t45QgcHJHa6	10.141.143.123	60802	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830871.811245	CSGVYR26wQ7loZFCec	10.141.143.123	60805	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830871.815149	CSGVYR26wQ7loZFCec	10.141.143.123	60805	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830872.807124	CQdu2G20WXmXXSUy03	10.141.143.123	60810	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830872.810228	CQdu2G20WXmXXSUy03	10.141.143.123	60810	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830875.826426	Ckfb4P3xwgNqfr5Hgc	10.141.143.123	60812	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830875.828479	Ckfb4P3xwgNqfr5Hgc	10.141.143.123	60812	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830876.740344	Cs6PEa32wGM4bCb1N1	10.141.143.123	60814	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830876.742771	Cs6PEa32wGM4bCb1N1	10.141.143.123	60814	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830877.854612	CyFcCn2pFidfFL1eQ8	10.141.143.123	60817	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830877.858339	CyFcCn2pFidfFL1eQ8	10.141.143.123	60817	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830880.778730	CEUdrQ2QPBipAUgt7k	10.141.143.123	60818	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830880.781237	CEUdrQ2QPBipAUgt7k	10.141.143.123	60818	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830882.178569	COPzIz1qLt7tjfdkPj	10.141.143.123	60829	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830882.183311	COPzIz1qLt7tjfdkPj	10.141.143.123	60829	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830884.084074	C0Wjzu18Bb9XGqV3A3	10.141.143.123	60833	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830884.087674	C0Wjzu18Bb9XGqV3A3	10.141.143.123	60833	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830886.130433	CbJ8I822hDbqihzM1l	10.141.143.123	60834	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830886.133333	CbJ8I822hDbqihzM1l	10.141.143.123	60834	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830888.177217	CczZP04z88qkV3wGD	10.141.143.123	60840	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830888.180413	CczZP04z88qkV3wGD	10.141.143.123	60840	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830890.188978	CdYVZP2HVSttZHtWJ6	10.141.143.123	60841	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830890.191157	CdYVZP2HVSttZHtWJ6	10.141.143.123	60841	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830892.221405	CanWErWWetP9HWGc7	10.141.143.123	60842	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830892.225178	CanWErWWetP9HWGc7	10.141.143.123	60842	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830894.200252	C24fUx26TOHVaklVk2	10.141.143.123	60843	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830894.202571	C24fUx26TOHVaklVk2	10.141.143.123	60843	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830896.237442	CVwYnOmyNfLqEYri7	10.141.143.123	60844	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830896.243058	CVwYnOmyNfLqEYri7	10.141.143.123	60844	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830898.248199	C0aK4b2sZFxKa4dkp5	10.141.143.123	60845	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830898.252137	C0aK4b2sZFxKa4dkp5	10.141.143.123	60845	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830900.256676	CVQ7C8288PseVqPmgf	10.141.143.123	60849	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830900.259426	CVQ7C8288PseVqPmgf	10.141.143.123	60849	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830902.119533	Cql37hHD4utCn4ih	10.141.143.123	60850	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830902.123936	Cql37hHD4utCn4ih	10.141.143.123	60850	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830904.190975	CErdhZ2OWROmpuBEE2	10.141.143.123	60852	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
