#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2025-06-21-13-50-48
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer	source
#types	time	string	addr	port	addr	port	string	string	bool	string	string
1750486673.031303	CtqZ012bN9Mr0aRky7	192.168.226.11	47098	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750486693.376989	CAGKGW30tNcr2McSRi	192.168.226.11	44658	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750486710.143317	CQedjrxPUEKX0ciS8	192.168.226.11	46138	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750486730.564853	CziB3k2n6g7DU09SX9	192.168.226.11	44716	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750486747.888293	CDkAiE2D15JJga2t8	192.168.226.11	45690	23.193.184.13	80	active_connection_reuse	-	F	zeek	TCP
1750486767.045390	C9MfhF3rK8hgbUjEeg	192.168.226.11	47838	23.60.96.135	80	active_connection_reuse	-	F	zeek	TCP
1750486772.848424	CUiq1F2CcDiHLIyoOj	192.168.226.11	45300	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750486797.205464	CTxW5g2O0t6vSKtjad	192.168.226.11	48102	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750486803.038012	CQsHnSVEFaCEvyxbi	192.168.226.11	45034	184.26.127.49	80	active_connection_reuse	-	F	zeek	TCP
1750486817.448954	CbMaYh3qFnIWui1Lcf	192.168.226.11	44830	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750486823.984175	C3WZWzRNrw8n93Khl	192.168.226.11	47524	184.26.127.49	80	active_connection_reuse	-	F	zeek	TCP
1750486852.829734	CaMoeko3wuDCZGwW5	192.168.226.11	48276	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750486873.081197	C79p1x32iNm77joVd1	192.168.226.11	45142	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750486892.520404	CN5G6bg0I8leD7Zg	192.168.226.11	47398	23.193.184.16	80	active_connection_reuse	-	F	zeek	TCP
1750486915.101803	CtqE5HfeHtv7Od6Kl	192.168.226.11	45226	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750486929.114170	CYHG1a3nEcdf0pggo8	192.168.226.11	47564	13.107.5.93	443	active_connection_reuse	-	F	zeek	TCP
1750486932.878484	CGCsbJ1VRmJyQz9AZ9	192.168.226.11	46054	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750486953.173150	CnINFC34lLNiOxvax7	192.168.226.11	47228	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750486973.290733	CUVEg02Kr9gB19vFQa	192.168.226.11	45312	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750486991.492783	CCvpeTJxA9Bx719m3	192.168.226.11	47714	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750487022.220738	CjnXFH32ysV9IvhQPe	192.168.226.11	47432	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750487028.110269	Csb5Hc2YRXBjwD9gKa	192.168.226.11	48554	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750487047.944843	C68DJH56DNsQA0mH	192.168.226.11	47856	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
