 ,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,label
77.0,2025-06-23T01:42:44+0800,CWOYSa4evQu38m4Uj5,192.168.84.22,58929,192.168.84.22,1106,tcp,,0.000421,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
78.0,2025-06-23T01:42:44+0800,Cz6Kd13lxAdiYX4Fhl,192.168.84.22,58135,192.168.84.22,7938,tcp,,0.00048,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
79.0,2025-06-23T01:42:44+0800,C2293Y3OhdrvQiG0Wi,192.168.84.22,57185,192.168.84.22,1071,tcp,,0.00042,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
80.0,2025-06-23T01:42:44+0800,CfUh073PKvFyf6QSyk,192.168.84.22,57473,192.168.84.22,51493,tcp,,0.000479,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
81.0,2025-06-23T01:42:44+0800,CbQJ6A2m7hCKUCYGf,192.168.84.22,59655,192.168.84.22,14442,tcp,,0.000371,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
82.0,2025-06-23T01:42:44+0800,CzZJkY37KbsA6eOu4e,192.168.84.22,59083,192.168.84.22,691,tcp,,0.000366,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
83.0,2025-06-23T01:42:44+0800,C7cc5ZioaIw7Y5t06,192.168.84.22,58387,192.168.84.22,366,tcp,,0.000417,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
84.0,2025-06-23T01:42:44+0800,CDez1o1ngm8BHM2e3e,192.168.84.22,57001,192.168.84.22,5815,tcp,,0.000411,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
85.0,2025-06-23T01:42:44+0800,C9EByi1QkppkDOyi36,192.168.84.22,60827,192.168.84.22,700,tcp,,0.000195,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
86.0,2025-06-23T01:42:44+0800,CzPPVS2jmStTDXZOsj,192.168.84.22,57893,192.168.84.22,8083,tcp,,0.000439,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
